"scenario","run_id","nobs","npredictors","run_number","Model","s0","s1","lambda","gamma","converged","iterations","TP","FP","TN","FN","TP_indep","FP_indep","TN_indep","FN_indep","TP_strong","FP_strong","TN_strong","FN_strong","TP_weak","FP_weak","TN_weak","FN_weak"
"scenarioB","p25_scenarioB_run49",200,25,49,"SSL",0.0172988351759105,0.2,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run49",200,25,49,"LASSO",NA,NA,0.0593615051805126,NA,TRUE,NA,4,1,19,1,1,1,11,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run50",200,25,50,"SSL",0.00242591451344198,0.2,NA,NA,TRUE,5,4,4,16,1,1,2,10,0,1,1,3,1,2,1,3,0
"scenarioB","p25_scenarioB_run50",200,25,50,"LASSO",NA,NA,0.0252007142250011,NA,TRUE,NA,4,5,15,1,1,3,9,0,1,1,3,1,2,1,3,0
"scenarioB","p25_scenarioB_run51",200,25,51,"SSL",0.0116328801230212,0.2,NA,NA,TRUE,6,5,2,18,0,1,1,11,0,2,0,4,0,2,1,3,0
"scenarioB","p25_scenarioB_run51",200,25,51,"LASSO",NA,NA,0.0483816941990142,NA,TRUE,NA,5,3,17,0,1,1,11,0,2,0,4,0,2,2,2,0
"scenarioB","p25_scenarioB_run52",200,25,52,"SSL",0.00416726277241335,0.2,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run52",200,25,52,"LASSO",NA,NA,0.0629140318583745,NA,TRUE,NA,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run53",200,25,53,"SSL",0.0124240559269188,0.2,NA,NA,TRUE,5,4,0,20,1,1,0,12,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run53",200,25,53,"LASSO",NA,NA,0.0670263250401911,NA,TRUE,NA,4,2,18,1,1,0,12,0,1,0,4,1,2,2,2,0
"scenarioB","p25_scenarioB_run54",200,25,54,"SSL",0.000415384942842734,0.6,NA,NA,TRUE,5,5,7,13,0,1,5,7,0,2,1,3,0,2,1,3,0
"scenarioB","p25_scenarioB_run54",200,25,54,"LASSO",NA,NA,0.0959811916469704,NA,TRUE,NA,3,1,19,2,1,0,12,0,0,1,3,2,2,0,4,0
"scenarioB","p25_scenarioB_run55",200,25,55,"SSL",0.00267964504790799,0.2,NA,NA,TRUE,5,5,7,13,0,1,6,6,0,2,1,3,0,2,0,4,0
"scenarioB","p25_scenarioB_run55",200,25,55,"LASSO",NA,NA,0.0794779991258655,NA,TRUE,NA,4,2,18,1,1,2,10,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run56",200,25,56,"SSL",0.0110269846067861,0.2,NA,NA,TRUE,5,5,1,19,0,1,1,11,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run56",200,25,56,"LASSO",NA,NA,0.045571706199239,NA,TRUE,NA,5,4,16,0,1,3,9,0,2,0,4,0,2,1,3,0
"scenarioB","p25_scenarioB_run57",200,25,57,"SSL",0.000426286230746624,0.2,NA,NA,TRUE,5,4,2,18,1,1,1,11,0,1,0,4,1,2,1,3,0
"scenarioB","p25_scenarioB_run57",200,25,57,"LASSO",NA,NA,0.0335330302961896,NA,TRUE,NA,4,4,16,1,1,2,10,0,1,1,3,1,2,1,3,0
"scenarioB","p25_scenarioB_run58",200,25,58,"SSL",0.0116328801230212,0.2,NA,NA,TRUE,9,5,4,16,0,1,3,9,0,2,0,4,0,2,1,3,0
"scenarioB","p25_scenarioB_run58",200,25,58,"LASSO",NA,NA,0.0375566283674209,NA,TRUE,NA,5,7,13,0,1,5,7,0,2,0,4,0,2,2,2,0
"scenarioB","p25_scenarioB_run59",200,25,59,"SSL",0.0172988351759105,1,NA,NA,TRUE,5,3,0,20,2,1,0,12,0,0,0,4,2,2,0,4,0
"scenarioB","p25_scenarioB_run59",200,25,59,"LASSO",NA,NA,0.068627106801439,NA,TRUE,NA,4,1,19,1,1,1,11,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run60",200,25,60,"SSL",0.000434218656766025,0.6,NA,NA,TRUE,5,5,7,13,0,1,4,8,0,2,1,3,0,2,2,2,0
"scenarioB","p25_scenarioB_run60",200,25,60,"LASSO",NA,NA,0.0628504529560206,NA,TRUE,NA,5,1,19,0,1,1,11,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run61",200,25,61,"SSL",0.000426286230746624,0.6,NA,NA,TRUE,5,4,1,19,1,1,1,11,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run61",200,25,61,"LASSO",NA,NA,0.0437199910386332,NA,TRUE,NA,5,3,17,0,1,3,9,0,2,0,4,0,2,0,4,0
"scenarioB","p25_scenarioB_run62",200,25,62,"SSL",0.000426286230746624,0.2,NA,NA,TRUE,5,4,0,20,1,1,0,12,0,1,0,4,1,2,0,4,0
"scenarioB","p25_scenarioB_run62",200,25,62,"LASSO",NA,NA,0.0506759527539281,NA,TRUE,NA,4,1,19,1,1,1,11,0,1,0,4,1,2,0,4,0
